,,2018_2Q,2018_1Q,2017_4Q,2017_3Q,2017_2Q,2017_1Q,2016_4Q,2016_3Q
1444,來自營運之現金流量,846.0,-347.0,1910.0,50.0,-1155.0,607.0,-186.0,-603.0
1444,投資活動之現金流量,-518.0,-649.0,-402.0,247.0,-331.0,-832.0,781.0,-914.0
1444,籌資活動之現金流量,-507.0,760.0,-3038.0,-96.0,421.0,834.0,-462.0,525.0
1444,本期產生現金流量,-176.0,-224.0,-1532.0,176.0,-977.0,496.0,232.0,-1006.0
1445,來自營運之現金流量,-13.0,-16.0,24.0,12.0,33.0,-17.0,45.0,2.0
1445,投資活動之現金流量,-3.0,-2.0,26.0,19.0,-2.0,-1.0,-14.0,22.0
1445,籌資活動之現金流量,0.0,0.0,0.0,-42.0,0.0,0.0,0.0,-70.0
1445,本期產生現金流量,-16.0,-17.0,50.0,-10.0,31.0,-18.0,31.0,-45.0
1446,來自營運之現金流量,-64.0,-80.0,-12.0,-9.0,-57.0,-71.0,35.0,224.0
1446,投資活動之現金流量,0.0,0.0,0.0,1.0,108.0,-1.0,0.0,0.0
1446,籌資活動之現金流量,20.0,0.0,43.0,20.0,-48.0,110.0,-5.0,-39.0
1446,本期產生現金流量,-34.0,-84.0,30.0,7.0,-17.0,24.0,36.0,178.0
1447,來自營運之現金流量,1333.0,640.0,4269.0,-329.0,-1527.0,237.0,661.0,703.0
1447,投資活動之現金流量,23.0,-63.0,-217.0,-79.0,-127.0,-203.0,-2.0,-632.0
1447,籌資活動之現金流量,-1318.0,291.0,-3974.0,197.0,418.0,561.0,-328.0,152.0
1447,本期產生現金流量,89.0,868.0,62.0,-208.0,-1182.0,532.0,347.0,220.0
1449,來自營運之現金流量,-2.0,-70.0,-49.0,-36.0,-35.0,-173.0,-82.0,-107.0
1449,投資活動之現金流量,-71.0,-59.0,40.0,-26.0,-31.0,9.0,80.0,-28.0
1449,籌資活動之現金流量,123.0,45.0,39.0,38.0,123.0,102.0,-39.0,128.0
